summary,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,CRSArrTime,UniqueCarrier,ActualElapsedTime,Origin,Dest,Distance,ArrDelay,partition_id
count,1524481,1524481,1524481,1524481,1524481,1524481,1524481,1524481,1524481,1524481,1524481,1524481,1524481,1524481
mean,2005.2200309482375,6.819439533847913,15.739877374660622,3.9425345412635515,1343.1007890554229,1335.312045870037,1499.0464518744411,,124.89908893584112,,,723.8429826281863,0.4444299404190672,2.4999891766443794
stddev,1.3298684774182468,3.3772885531435493,8.788305183327493,1.9915258421755744,475.47666780749284,462.8261301202478,478.3461722588984,,70.9126133314637,,,571.7621650788815,0.49690253616064983,1.70782402336178
min,2003,1,1,1,1.0,3.0,0.0,9E,-681.0,ABE,ABE,27.0,0,0
max,2007,12,31,7,2644.0,2359.0,2359.0,YV,1766.0,YUM,YUM,4962.0,1,5
